Document,Control Questions,Process,Questions,,More questions,Answers
Quote,"Does the quote contain the professional's complete information (company name, SIRET, address, legal notices, ten-year insurance)?",Vision AI will check,,,"Can user modify (add/change) some information in the documents?
if the user modify the values in the document do we need to create a new PDF file with the changes applied ?

Do we need to extract the information or only validate based on the questions?
","1. Can the user modify (add/change) information in the documents?
➤ Answer: NO. The controller (user) cannot modify any values inside the documents themselves. The scanned documents you receive are final, signed documents (by the client and the installer) and must not be altered.
2. If a value is incorrect, do we need to create a new PDF?
➤ Answer: NO. If the controller sees that the AI extracted a wrong value, the controller only corrects the extracted fields in the interface, not the documents. There is no PDF regeneration. If the dossier is refused, the installer must correct their own documents and resubmit new updated PDFs.
3. Do we need to extract information or only validate based on questions?
➤ Answer: The AI must extract all information from the documents. The workflow is:
IA reads and extracts all fields from the provided documents.
Controller reviews these extracted values.
If the AI made a mistake, the controller corrects the field (in the form/UI).
The system then runs the rules/validations based on these corrected fields.
The controller accepts or refuses the dossier.
If refused, the installer must update the real documents and resubmit them."
Quote,Are the beneficiary's first and last names present and consistent with supporting documents?,OCR needs to extract the names and Vision Model will check compare it,,,,
Quote,Is the full address of the works present and consistent with supporting documents?,Vision AI will check,,,,
Quote,Are the beneficiary's email and phone number indicated and consistent with other documents?,OCR needs to extract the details and Vision Model will check compare it,,,,
Quote,Is the pre-visit date mentioned?,Vision AI will check,,,,
Quote,"Is the subcontractor declaration (name, first name, company name, SIRET, RGE...) present?",Vision AI will check,,,,
Quote,Is the AH (Sworn Statement) operation code indicated?,Vision AI will check,,,,
Quote,Is the description of the EEC (Energy Savings Certificates) operation present?,Vision AI will check,,,,
Quote,"Are the general characteristics of the material used mentioned (ref, brand, thickness...)?",Vision AI will check,,,,
Quote,Is the waste management mention present?,Vision AI will check,,,,
Quote,Is the sentence related to the premium present?,Vision AI will check,,,,
Quote,Is the EEC premium correct?,,How we get the Correct premium..? is it fixied ...?,,,
Quote,Is the EEC premium identical to the one mentioned on the contribution framework?,,How we get the Correct Contribution Framework...?,,,
Quote,Has the EEC premium been deducted from the amount including tax (TTC)?,Vision AI will check,,,,
Quote,"Is the mention ""Bon pour accord"" (Good for agreement) present?",Vision AI will check,,,,
Quote,Is the quote signature date present and legible?,Vision AI will check,,,,
Quote,Is the signature present and legible?,Vision AI will check,,,,
Quote,"Are the signatures on the quote, Part B, and Part R1 identical on all documents?",OCR needs to extract the names and Vision Model will check compare it,,,,
Quote,Is the pen ink color identical?,"Vision AI will check
",,,,
Quote,Are all pages present and numbered?,Vision AI will check,,,,
Quote,Is the premium consistent with the beneficiary's precariousness status?,,,,,
Quote,Is waste management clearly mentioned?,Vision AI will check,,,,
Quote,Was no down payment received before the quote was established?,,Is this mentioned in the quote...? ,YES IT SHOULD BE MENTIONED IN THE QUOTE,,
Quote,Is the RGE valid at the date of engagement of the operation?,,What is the rule to check is RDE valid or not..?,Reconnu Garant de l'Environnement (API endpoint to check the RGE)https://data.ademe.fr/data-fair/api/v1/datasets/liste-des-entreprises-rge-2 ,https://www.data.gouv.fr/dataservices/api-professionnels-rge/,
Quote,Is the removal of a gas or oil boiler indicated?,Vision AI will check,,,,
Quote,Is the installer's mediator mentioned?,Vision AI will check,,,,
Contribution Framework,Are the mandatory's and obligated party's logos present?,,the logos are fixed or will change every time,Each entity has its own fixed logo,,
Contribution Framework,Is the contribution framework format correct (Coup de pouce/Boost or non-Boost)?,,How we get the correct formate and it is fixed or will change every time...?,its mentioned on the Contribution Framework if its a coup de pouce .,,
Contribution Framework,"Has the option ""a premium of amount XXX Euros"" been checked with the entered EEC amount?",,Where we get the Entered EEC Amount of premimume,,,
Contribution Framework,Is the premium amount identical to the one mentioned on the quote?,OCR needs to extract the details and Vision Model will check compare it,,,,
Contribution Framework,Is the EEC operation identical on the quote and the invoice?,OCR needs to extract the details and Vision Model will check compare it,,,,
Contribution Framework,"Is the beneficiary's information complete (Last name, first name, address, postal code, city)?","Vision AI will check
",,,,
Contribution Framework,Is the proposal date present and prior to or equal to the quote signature date?,OCR needs to extract the details and Vision Model will check compare it,,,,
Contribution Framework,"Is the mention ""Bon pour accord"" (Good for agreement) present?","Vision AI will check
",,,,
Contribution Framework,Is the signature date present and prior to or equal to the quote signature date?,OCR needs to extract the details and Vision Model will check compare it,,,,
Contribution Framework,Is the signature present and legible?,,What is the rule for deciding it is legible,"detect only if the signature is present , then Human validation",,
